sample_id,timestamp_utc,month_block,segment_id,source_dataset,altitude_km,latitude_deg,longitude_deg,residual_mGs,Bx_model_nT,By_model_nT,Bz_model_nT,B_model_nT,B_model_mGs,B_teaching_mGs,is_anomaly,anomaly_type,anomaly_id,quality_flag
1,2026-01-12 09:00:00,2026-01,segment_1,200_stab,474.7150625,1.055507,-48.188846,-72.7530243557129,20365.3691059232,-6578.60592047697,79.8725311957525,21401.6983975259,214.01698397526,141.263959619547,0,normal,,normal_semisynthetic
2,2026-01-12 09:00:20,2026-01,segment_1,200_stab,474.56875,2.32485,-48.435153,-43.7574877926105,20654.8956322603,-6582.77431509895,1076.67645794739,21705.2266391805,217.052266391805,173.294778599194,0,normal,,normal_semisynthetic
3,2026-01-12 09:00:40,2026-01,segment_1,200_stab,474.44375,3.599924,-48.682873,-67.9311870271297,20923.0368574552,-6577.03729169622,2104.15292582641,22033.1193980802,220.331193980802,152.400006953672,0,normal,,normal_semisynthetic
4,2026-01-12 09:00:50,2026-01,segment_1,200_stab,474.38971875,4.234281,-48.806281,-85.2165949736494,21047.5241434099,-6570.55997242208,2624.3110474602,22204.8989953217,222.048989953217,136.832394979568,0,normal,,normal_semisynthetic
5,2026-01-12 09:01:10,2026-01,segment_1,200_stab,474.29759375,5.509319,-49.054757,-99.9210613406303,21279.0728962081,-6550.48231627664,3686.22199427879,22567.5872544916,225.675872544917,125.754811204286,0,normal,,normal_semisynthetic
6,2026-01-12 09:01:20,2026-01,segment_1,200_stab,474.2595625,6.149353,-49.179749,-63.7096022888055,21385.6543270834,-6536.9599942072,4226.86321264885,22758.3925087386,227.583925087386,163.874322798581,0,normal,,normal_semisynthetic
7,2026-01-12 09:01:30,2026-01,segment_1,200_stab,474.2273125,6.78238,-49.30357,-55.6253908322986,21484.5857588717,-6521.40354240463,4766.13096638794,22952.8240916442,229.528240916442,173.902850084143,0,normal,,normal_semisynthetic
8,2026-01-12 09:01:50,2026-01,segment_1,200_stab,474.17859375,8.055918,-49.553374,4.86182771748997,21663.7584389471,-6483.81101742257,5863.41027472337,23361.0319776425,233.610319776425,238.472147493915,0,normal,,normal_semisynthetic
9,2026-01-12 09:02:10,2026-01,segment_1,200_stab,474.15121875,9.329389,-49.804233,11.5190740033042,21815.998750151,-6438.32652005777,6974.95304270714,23791.591367402,237.91591367402,249.434987677324,0,normal,,normal_semisynthetic
10,2026-01-12 09:02:30,2026-01,segment_1,200_stab,474.144875,10.603972,-50.056571,-85.0971815300188,21941.1324168917,-6385.57752062258,8099.23075104235,24244.3071826375,242.443071826375,157.345890296356,0,normal,,normal_semisynthetic
11,2026-01-12 09:02:40,2026-01,segment_1,200_stab,474.1495,11.243034,-50.18362,-68.1898621209667,21993.5828574912,-6356.63802464022,8666.57771959623,24479.2586336971,244.792586336971,176.602724216004,0,normal,,normal_semisynthetic
12,2026-01-12 09:03:00,2026-01,segment_1,200_stab,474.1740625,12.514772,-50.437624,-133.079612218438,22077.5408632671,-6294.5734666906,9801.36328418192,24962.0950227601,249.620950227601,116.541338009162,0,normal,,normal_semisynthetic
13,2026-01-12 09:03:10,2026-01,segment_1,200_stab,474.19378125,13.147949,-50.56472,-100.235821213289,22109.2474104531,-6261.64604319049,10368.6504960529,25209.8382647753,252.098382647753,151.862561434464,0,normal,,normal_semisynthetic
14,2026-01-12 09:03:30,2026-01,segment_1,200_stab,474.24825,14.421159,-50.821686,-136.767961093718,22152.8479245981,-6191.85256180418,11512.6452568596,25722.1443532179,257.221443532179,120.453482438462,0,normal,,normal_semisynthetic
15,2026-01-12 09:03:40,2026-01,segment_1,200_stab,474.28296875,15.06118,-50.951613,-107.749324598656,22164.6810399393,-6155.16302470215,12088.8513249991,25986.5242735699,259.865242735699,152.115918137043,0,normal,,normal_semisynthetic
16,2026-01-12 09:03:50,2026-01,segment_1,200_stab,474.322,15.693446,-51.080499,-115.0233954242,22169.8095976027,-6117.99493742349,12658.5044945178,26252.0105075025,262.520105075025,147.496709650825,0,normal,,normal_semisynthetic
17,2026-01-12 09:04:10,2026-01,segment_1,200_stab,474.4144375,16.964773,-51.341371,-90.5620124650174,22160.5967577416,-6040.87180418392,13804.3200135288,26798.1982948429,267.981982948429,177.419970483412,0,normal,,normal_semisynthetic
18,2026-01-12 09:04:20,2026-01,segment_1,200_stab,474.46771875,17.603194,-51.473289,-89.3497959912399,22146.2486351416,-6001.13229112888,14379.4763636909,27078.3909765534,270.783909765534,181.434113774294,0,normal,,normal_semisynthetic
19,2026-01-12 09:04:40,2026-01,segment_1,200_stab,474.58734375,18.876457,-51.738369,-131.231512123616,22098.5194393377,-5920.32089911993,15525.0886633376,27648.2031778529,276.482031778529,145.250519654913,0,normal,,normal_semisynthetic
20,2026-01-12 09:04:50,2026-01,segment_1,200_stab,474.65328125,19.509454,-51.871192,-119.021045909135,22065.4348200194,-5879.55006527684,16093.5191073672,27936.6046617303,279.366046617303,160.345000708168,0,normal,,normal_semisynthetic
21,2026-01-12 09:05:10,2026-01,segment_1,200_stab,474.79809375,20.780261,-52.140103,-119.304946407667,21980.5463628643,-5796.91693320229,17231.6162090366,28525.0286856298,285.250286856298,165.945340448631,0,normal,,normal_semisynthetic
22,2026-01-12 09:05:30,2026-01,segment_1,200_stab,474.959,22.051191,-52.412256,-138.524697665219,21871.3640891397,-5713.73839850242,18364.612407858,29124.9439913124,291.249439913124,152.724742247904,0,normal,,normal_semisynthetic
23,2026-01-12 09:05:40,2026-01,segment_1,200_stab,475.04490625,22.684257,-52.549109,-140.613397400206,21808.0477046294,-5672.27841133539,18926.6451518955,29427.5990146811,294.275990146811,153.662592746606,0,normal,,normal_semisynthetic
24,2026-01-12 09:06:00,2026-01,segment_1,200_stab,475.2281875,23.953815,-52.826312,-150.94861159689,21663.4145060126,-5589.3845992304,20048.3587567298,30041.3288170809,300.413288170809,149.464676573919,0,normal,,normal_semisynthetic
25,2026-01-12 09:06:10,2026-01,segment_1,200_stab,475.32559375,24.591565,-52.967031,-164.681639965236,21581.9545220636,-5547.97826637934,20608.842505094,30352.68049508,303.5268049508,138.845164985564,0,normal,,normal_semisynthetic
26,2026-01-12 09:06:30,2026-01,segment_1,200_stab,475.52953125,25.860942,-53.250235,-158.488830338041,21402.4893899048,-5466.26175475679,21717.7727896373,30977.5438761503,309.775438761503,151.286608423461,0,normal,,normal_semisynthetic
27,2026-01-12 09:06:50,2026-01,segment_1,200_stab,475.74615625,27.130304,-53.537871,-146.376230668452,21200.1868537712,-5385.72338423562,22816.9279072551,31608.0075001762,316.080075001762,169.70384433331,0,normal,,normal_semisynthetic
28,2026-01-12 09:07:00,2026-01,segment_1,200_stab,475.8586875,27.763519,-53.683129,-132.845169387427,21090.8053218146,-5346.0598886366,23361.2505681593,31924.1359094322,319.241359094322,186.396189706895,0,normal,,normal_semisynthetic
29,2026-01-12 09:07:20,2026-01,segment_1,200_stab,476.091875,29.029404,-53.977277,-147.770416103915,20855.3795199402,-5267.88987124507,24440.7931210048,32558.4073166987,325.584073166987,177.813657063072,0,normal,,normal_semisynthetic
30,2026-01-12 09:07:30,2026-01,segment_1,200_stab,476.21196875,29.66024,-54.125834,-131.452741423311,20729.7644101746,-5229.51783036833,24974.1963335055,32875.2410142339,328.752410142339,197.299668719028,0,normal,,normal_semisynthetic
31,2026-01-12 09:07:40,2026-01,segment_1,200_stab,476.335625,30.297217,-54.277239,-142.511451499942,20597.358995226,-5191.17380226461,25509.5176433832,33195.4059083726,331.954059083726,189.442607583783,0,normal,,normal_semisynthetic
32,2026-01-12 09:08:00,2026-01,segment_1,200_stab,476.58865625,31.564893,-54.582968,-126.490828013977,20317.290928069,-5116.05797543168,26564.5059014257,33832.518878302,338.32518878302,211.834360769043,0,normal,,normal_semisynthetic
