sample_id,timestamp_utc,month_block,segment_id,source_dataset,altitude_km,latitude_deg,longitude_deg,residual_mGs,Bx_model_nT,By_model_nT,Bz_model_nT,B_model_nT,B_model_mGs,B_teaching_mGs,Bx_teaching_mGs,By_teaching_mGs,Bz_teaching_mGs,is_anomaly,anomaly_type,anomaly_id,quality_flag
5665,2026-05-11 14:20:00,2026-05,segment_9,200_stab,474.7150625,1.055507,91.811154,-139.614662192749,31994.9849475519,-862.624579572718,-8282.22632710437,33060.8296310413,330.608296310413,190.993634117664,184.836210006519,-4.98341406342459,-47.8467274551826,0,normal,NaN,normal_semisynthetic
5666,2026-05-11 14:20:20,2026-05,segment_9,200_stab,474.56875,2.32485,91.564847,-137.12106968871,32197.7300501436,-833.605453445758,-6569.56854632879,32871.6891765368,328.716891765368,191.595822076658,187.667586074733,-4.8587500716126,-38.2913661528918,0,normal,NaN,normal_semisynthetic
5667,2026-05-11 14:20:40,2026-05,segment_9,200_stab,474.44375,3.599924,91.317127,-144.391828749673,32360.7079202252,-805.742333834216,-4835.36931625787,32729.8859489499,327.298859489499,182.907030739827,180.843923732557,-4.50279411461631,-27.0218798057122,0,normal,NaN,normal_semisynthetic
5668,2026-05-11 14:20:50,2026-05,segment_9,200_stab,474.38971875,4.234281,91.193719,-91.8931843535192,32426.4171312563,-792.180697331429,-3968.44628983351,32677.9534882886,326.779534882886,234.886350529366,233.078328587297,-5.69412748024977,-28.5248544289918,0,normal,NaN,normal_semisynthetic
5669,2026-05-11 14:21:10,2026-05,segment_9,200_stab,474.29759375,5.509319,90.945243,-118.320460873158,32527.3054330583,-765.172034591028,-2219.67515891477,32611.9310190165,326.119310190165,207.798849317007,207.259626436441,-4.87557355082261,-14.1434723264646,0,normal,NaN,normal_semisynthetic
5670,2026-05-11 14:21:20,2026-05,segment_9,200_stab,474.2595625,6.149353,90.820251,-131.248595836826,32562.1646865811,-751.602490868836,-1339.51320934641,32598.3706804239,325.983706804239,194.735110967413,194.518824751829,-4.48989907801194,-8.00194144736917,0,normal,NaN,normal_semisynthetic
5671,2026-05-11 14:21:30,2026-05,segment_9,200_stab,474.2273125,6.78238,90.69643,-135.762425870677,32586.2265629121,-738.085831466038,-468.009412655407,32597.944185399,325.97944185399,190.217015983313,190.148640776239,-4.3069122274256,-2.73094994644752,0,normal,NaN,normal_semisynthetic
5672,2026-05-11 14:21:50,2026-05,segment_9,200_stab,474.17859375,8.055918,90.446626,-98.2126832893929,32603.1953598446,-710.354488678271,1286.57853610902,32636.3024177273,326.363024177273,228.15034088788,227.918899640491,-4.96586949920993,8.99407438487465,0,normal,NaN,normal_semisynthetic
5673,2026-05-11 14:22:10,2026-05,segment_9,200_stab,474.15121875,9.329389,90.195767,-117.774596743037,32578.1751024739,-681.512057433438,3039.99400787555,32726.8011767083,327.268011767083,209.493415024046,208.542017920343,-4.36254944444145,19.4598525814902,0,normal,NaN,normal_semisynthetic
5674,2026-05-11 14:22:30,2026-05,segment_9,200_stab,474.144875,10.603972,89.943429,-128.117817946503,32511.2431181294,-651.097275787738,4790.51577318543,32868.7373977431,328.687373977431,200.569556030928,198.38807677062,-3.97308512211547,29.2323860865107,0,normal,NaN,normal_semisynthetic
