navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 11:53:22:521,2025-04-25 11:53:22,1.055507,-48.188846,474715.0625,1745582002519,2025-04-25 11:53:22,8.5449,-137.9391,30.27336,141.480341215695,2
25-04-2025 11:53:42:521,2025-04-25 11:53:42,2.32485,-48.435153,474568.75,1745582022518,2025-04-25 11:53:42,10.49802,-148.68126,88.86696,173.532884718573,3
25-04-2025 11:54:02:521,2025-04-25 11:54:02,3.599924,-48.682873,474443.75,1745582042518,2025-04-25 11:54:02,-2.92968,-144.77502,48.33972,152.660138774276,3
25-04-2025 11:54:12:521,2025-04-25 11:54:12,4.234281,-48.806281,474389.71875,1745582052518,2025-04-25 11:54:12,-56.64048,-120.36102,33.20304,137.103468137434,3
25-04-2025 11:54:32:521,2025-04-25 11:54:32,5.509319,-49.054757,474297.59375,1745582072517,2025-04-25 11:54:32,12.93942,-50.53698,114.7458,126.047663822448,4
25-04-2025 11:54:42:521,2025-04-25 11:54:42,6.149353,-49.179749,474259.5625,1745582082517,2025-04-25 11:54:42,73.97442,-12.93942,145.99572,164.177932934336,4
25-04-2025 11:54:52:521,2025-04-25 11:54:52,6.78238,-49.30357,474227.3125,1745582092517,2025-04-25 11:54:52,102.78294,-12.207,140.13636,174.21694233941,4
25-04-2025 11:55:12:521,2025-04-25 11:55:12,8.055918,-49.553374,474178.59375,1745582112517,2025-04-25 11:55:12,173.09526,-26.61126,162.3531,238.80673623846,4
25-04-2025 11:55:32:521,2025-04-25 11:55:32,9.329389,-49.804233,474151.21875,1745582132516,2025-04-25 11:55:32,160.64412,-37.8417,187.49952,249.789106146955,5
25-04-2025 11:55:52:521,2025-04-25 11:55:52,10.603972,-50.056571,474144.875,1745582152516,2025-04-25 11:55:52,76.17168,-49.56042,128.90592,157.718408169894,5
25-04-2025 11:56:02:521,2025-04-25 11:56:02,11.243034,-50.18362,474149.5,1745582162525,2025-04-25 11:56:02,81.54276,-43.70106,150.87852,176.983988402713,4
25-04-2025 11:56:22:521,2025-04-25 11:56:22,12.514772,-50.437624,474174.0625,1745582182525,2025-04-25 11:56:22,-4.8828,-53.7108,103.7595,116.938982434131,4
25-04-2025 11:56:32:521,2025-04-25 11:56:32,13.147949,-50.56472,474193.78125,1745582192525,2025-04-25 11:56:32,7.3242,-48.09558,144.28674,152.267830026582,4
25-04-2025 11:56:52:521,2025-04-25 11:56:52,14.421159,-50.821686,474248.25,1745582212524,2025-04-25 11:56:52,2.68554,-17.0898,119.6286,120.872971863405,3
25-04-2025 11:57:02:521,2025-04-25 11:57:02,15.06118,-50.951613,474282.96875,1745582222524,2025-04-25 11:57:02,15.13668,-16.60152,150.87852,152.541985515868,3
25-04-2025 11:57:12:521,2025-04-25 11:57:12,15.693446,-51.080499,474322,1745582232524,2025-04-25 11:57:12,12.69528,-47.11902,139.64808,147.928896527099,3
25-04-2025 11:57:32:521,2025-04-25 11:57:32,16.964773,-51.341371,474414.4375,1745582252524,2025-04-25 11:57:32,32.22648,-6.34764,174.80424,177.863320751462,3
25-04-2025 11:57:42:521,2025-04-25 11:57:42,17.603194,-51.473289,474467.71875,1745582262524,2025-04-25 11:57:42,-2.68554,-49.31628,175.04838,181.882497615231,3
25-04-2025 11:58:02:521,2025-04-25 11:58:02,18.876457,-51.738369,474587.34375,1745582282523,2025-04-25 11:58:02,-44.67762,-46.63074,130.6149,145.707816344292,2
25-04-2025 11:58:12:521,2025-04-25 11:58:12,19.509454,-51.871192,474653.28125,1745582292523,2025-04-25 11:58:12,-11.96286,-52.24596,151.61094,160.806179866897,2
25-04-2025 11:58:32:521,2025-04-25 11:58:32,20.780261,-52.140103,474798.09375,1745582312523,2025-04-25 11:58:32,-45.41004,-44.43348,153.8082,166.413245461267,2
25-04-2025 11:58:52:521,2025-04-25 11:58:52,22.051191,-52.412256,474959,1745582332522,2025-04-25 11:58:52,-73.242,-57.12876,121.82586,153.197995900329,1
25-04-2025 11:59:02:521,2025-04-25 11:59:02,22.684257,-52.549109,475044.90625,1745582342522,2025-04-25 11:59:02,-76.65996,-43.45692,126.46452,154.138016666617,1
25-04-2025 11:59:22:521,2025-04-25 11:59:22,23.953815,-52.826312,475228.1875,1745582362522,2025-04-25 11:59:22,-60.30258,-52.24596,126.9528,149.943505757395,1
25-04-2025 11:59:32:521,2025-04-25 11:59:32,24.591565,-52.967031,475325.59375,1745582372522,2025-04-25 11:59:32,-58.5936,-42.23622,119.14032,139.325245704254,1
