navTimeText,navTimeUtc,latDeg,lonDeg,altM,matchedMagTimeMs,matchedMagTimeUtc,Bx_mGs,By_mGs,Bz_mGs,Bnorm_mGs,syncErrorMs
25-04-2025 19:44:22:491,2025-04-25 19:44:22,-0.149889,-165.782693,474841.65625,1745610262493,2025-04-25 19:44:22,2.19726,-194.57958,72.0213,207.492430122581,2
25-04-2025 19:44:42:491,2025-04-25 19:44:42,1.123887,-166.029727,474677.8125,1745610282491,2025-04-25 19:44:42,25.14642,-268.554,-39.30654,272.577690652753,0
25-04-2025 19:44:52:491,2025-04-25 19:44:52,1.758859,-166.152917,474604.3125,1745610292490,2025-04-25 19:44:52,48.828,-280.761,-101.3181,302.450442374631,1
25-04-2025 19:45:02:491,2025-04-25 19:45:02,2.398286,-166.277035,474535.84375,1745610302491,2025-04-25 19:45:02,75.43926,-277.0989,-162.84138,330.1396634318,0
25-04-2025 19:45:22:491,2025-04-25 19:45:22,3.672115,-166.524534,474415.9375,1745610322489,2025-04-25 19:45:22,117.67548,-227.29434,-256.347,362.248561071353,2
25-04-2025 19:45:32:491,2025-04-25 19:45:32,4.305877,-166.647832,474364.46875,1745610332490,2025-04-25 19:45:32,155.27304,-178.46634,-300.2922,382.276544983703,1
25-04-2025 19:45:52:491,2025-04-25 19:45:52,5.580237,-166.896219,474277.3125,1745610352489,2025-04-25 19:45:52,205.0776,-74.4627,-328.61244,394.446005729306,2
25-04-2025 19:46:02:491,2025-04-25 19:46:02,6.220319,-167.021239,474241.78125,1745610362489,2025-04-25 19:46:02,231.44472,-23.92572,-322.99722,398.078261929894,2
25-04-2025 19:46:22:491,2025-04-25 19:46:22,7.491382,-167.270144,474187.40625,1745610382489,2025-04-25 19:46:22,282.95826,50.29284,-268.79814,393.506272789841,2
25-04-2025 19:46:42:491,2025-04-25 19:46:42,8.762331,-167.520006,474154.40625,1745610402489,2025-04-25 19:46:42,333.00696,66.89436,-181.8843,385.292602309908,2
25-04-2025 19:47:02:491,2025-04-25 19:47:02,10.037641,-167.771904,474142.5,1745610422488,2025-04-25 19:47:02,367.67484,14.16012,-88.37868,378.412589703332,3
25-04-2025 19:47:12:491,2025-04-25 19:47:12,10.67234,-167.897757,474144.375,1745610432488,2025-04-25 19:47:12,369.62796,-37.35342,-48.33972,374.64227648403,3
25-04-2025 19:47:32:491,2025-04-25 19:47:32,11.947302,-168.151703,474163.65625,1745610452487,2025-04-25 19:47:32,318.6027,-157.95858,6.83592,355.675868235607,4
25-04-2025 19:47:52:491,2025-04-25 19:47:52,13.2214,-168.407111,474203.1875,1745610472487,2025-04-25 19:47:52,193.60302,-248.77866,29.54094,316.61588425188,4
25-04-2025 19:48:02:491,2025-04-25 19:48:02,13.855178,-168.534836,474230.3125,1745610482487,2025-04-25 19:48:02,113.5251,-262.4505,29.05266,287.423503446283,4
25-04-2025 19:48:22:491,2025-04-25 19:48:22,15.129503,-168.79314,474299.40625,1745610502486,2025-04-25 19:48:22,-32.9589,-224.12052,8.5449,226.692108134117,5
25-04-2025 19:48:42:491,2025-04-25 19:48:42,16.403515,-169.053534,474387.53125,1745610522486,2025-04-25 19:48:42,-123.04656,-135.98598,-33.93546,186.505383648316,5
25-04-2025 19:48:52:491,2025-04-25 19:48:52,17.038175,-169.184127,474438.375,1745610532486,2025-04-25 19:48:52,-146.23986,-92.7732,-63.23226,184.36724762215,5
25-04-2025 19:49:12:491,2025-04-25 19:49:12,18.306526,-169.446994,474553.4375,1745610552486,2025-04-25 19:49:12,-157.95858,-35.64444,-124.99968,204.563826466539,5
25-04-2025 19:49:32:491,2025-04-25 19:49:32,19.582152,-169.714123,474686.65625,1745610572495,2025-04-25 19:49:32,-148.19298,-28.56438,-180.6636,235.406923201134,4
25-04-2025 19:49:42:491,2025-04-25 19:49:42,20.21632,-169.848008,474759.1875,1745610582495,2025-04-25 19:49:42,-141.35706,-42.23622,-201.4155,249.66761971065,4
25-04-2025 19:49:52:491,2025-04-25 19:49:52,20.848478,-169.982249,474835.59375,1745610592495,2025-04-25 19:49:52,-135.4977,-63.23226,-214.35492,261.354122099124,4
25-04-2025 19:50:02:491,2025-04-25 19:50:02,21.482357,-170.11765,474916.15625,1745610602494,2025-04-25 19:50:02,-129.63834,-92.04078,-218.26116,270.028773180766,3
25-04-2025 19:50:22:491,2025-04-25 19:50:22,22.754963,-170.392074,475089.53125,1745610622495,2025-04-25 19:50:22,-117.91962,-150.1461,-204.34518,279.653072064991,4
25-04-2025 19:50:42:491,2025-04-25 19:50:42,24.025093,-170.669611,475277.375,1745610642494,2025-04-25 19:50:42,-97.41186,-209.47212,-163.08552,282.779996392291,3
25-04-2025 19:50:52:491,2025-04-25 19:50:52,24.656503,-170.809043,475376,1745610652494,2025-04-25 19:50:52,-85.69314,-232.66542,-136.47426,283.022500076202,3
25-04-2025 19:51:02:491,2025-04-25 19:51:02,25.296584,-170.951425,475479.375,1745610662493,2025-04-25 19:51:02,-70.8006,-248.53452,-108.39816,280.236139145857,2
25-04-2025 19:51:12:491,2025-04-25 19:51:12,25.928979,-171.093165,475584.78125,1745610672494,2025-04-25 19:51:12,-55.17564,-267.08916,-82.27518,284.868699373848,3
25-04-2025 19:51:32:491,2025-04-25 19:51:32,27.198959,-171.381194,475805.8125,1745610692493,2025-04-25 19:51:32,-18.79878,-284.4231,-39.0624,287.707777157411,2
25-04-2025 19:51:42:491,2025-04-25 19:51:42,27.831469,-171.526418,475920.3125,1745610702493,2025-04-25 19:51:42,-0.24414,-291.7473,-25.6347,292.871447064612,2
25-04-2025 19:51:52:491,2025-04-25 19:51:52,28.461984,-171.67242,476037.1875,1745610712493,2025-04-25 19:51:52,23.1933,-302.00118,-15.62496,303.293226533802,2
25-04-2025 19:52:12:491,2025-04-25 19:52:12,29.731305,-171.970284,476280.40625,1745610732493,2025-04-25 19:52:12,85.20486,-319.33512,-16.11324,330.899416041086,2
25-04-2025 19:52:32:491,2025-04-25 19:52:32,30.996764,-172.272834,476532.46875,1745610752493,2025-04-25 19:52:32,166.50348,-325.68276,-36.621,367.605449707058,2
25-04-2025 19:52:42:491,2025-04-25 19:52:42,31.628243,-172.426036,476661.59375,1745610762492,2025-04-25 19:52:42,214.35492,-320.55582,-51.51354,389.047182572256,1
25-04-2025 19:52:52:491,2025-04-25 19:52:52,32.258901,-172.580603,476792.53125,1745610772491,2025-04-25 19:52:52,258.54426,-305.41914,-66.65022,405.670108935001,0
25-04-2025 19:53:12:491,2025-04-25 19:53:12,33.529798,-172.897045,477061.96875,1745610792491,2025-04-25 19:53:12,337.88976,-256.10286,-95.94702,434.699891258231,0
25-04-2025 19:53:22:491,2025-04-25 19:53:22,34.156072,-173.05556,477197.25,1745610802491,2025-04-25 19:53:22,368.40726,-226.07364,-104.73606,444.750314432582,0
25-04-2025 19:53:42:491,2025-04-25 19:53:42,35.423198,-173.381825,477475.21875,1745610822491,2025-04-25 19:53:42,409.91106,-162.84138,-106.44504,453.734436307439,0
25-04-2025 19:53:52:491,2025-04-25 19:53:52,36.054506,-173.547307,477615.59375,1745610832491,2025-04-25 19:53:52,423.82704,-137.69496,-98.14428,456.313008297245,0
25-04-2025 19:54:12:491,2025-04-25 19:54:12,37.31651,-173.884308,477899.25,1745610852491,2025-04-25 19:54:12,433.10436,-106.68918,-72.75372,451.945872371814,0
25-04-2025 19:54:22:491,2025-04-25 19:54:22,37.949016,-174.056511,478042.65625,1745610862490,2025-04-25 19:54:22,435.54576,-107.17746,-58.10532,452.286795295122,1
25-04-2025 19:54:42:491,2025-04-25 19:54:42,39.209507,-174.406667,478330.1875,1745610882490,2025-04-25 19:54:42,428.95398,-138.67152,-29.54094,451.778678727797,1
25-04-2025 19:55:02:491,2025-04-25 19:55:02,40.465889,-174.765621,478618.1875,1745610902490,2025-04-25 19:55:02,400.3896,-207.27486,-21.48432,451.371549149968,1
25-04-2025 19:55:12:491,2025-04-25 19:55:12,41.09648,-174.94979,478762.875,1745610912490,2025-04-25 19:55:12,376.70802,-248.29038,-29.05266,452.107401162534,1
25-04-2025 19:55:32:491,2025-04-25 19:55:32,42.351793,-175.324932,479050.5,1745610932489,2025-04-25 19:55:32,300.04806,-328.3683,-68.60334,450.067769356804,2
25-04-2025 19:55:52:491,2025-04-25 19:55:52,43.613463,-175.714266,479338.03125,1745610952488,2025-04-25 19:55:52,187.74366,-376.95216,-138.91566,443.439030073016,3
25-04-2025 19:56:12:491,2025-04-25 19:56:12,44.865112,-176.113764,479620.59375,1745610972488,2025-04-25 19:56:12,69.33576,-370.36038,-214.8432,433.741696490852,3
25-04-2025 19:56:22:491,2025-04-25 19:56:22,45.491703,-176.319093,479760.65625,1745610982488,2025-04-25 19:56:22,17.82222,-348.14364,-254.39388,431.552860933203,3
25-04-2025 19:56:32:491,2025-04-25 19:56:32,46.117335,-176.527865,479899.40625,1745610992488,2025-04-25 19:56:32,-18.06636,-317.87028,-287.10864,428.718181832282,3
25-04-2025 19:56:52:491,2025-04-25 19:56:52,47.371286,-176.958372,480173.5625,1745611012487,2025-04-25 19:56:52,-49.07214,-270.9954,-337.15734,435.340847682842,4
25-04-2025 19:57:02:491,2025-04-25 19:57:02,48.000213,-177.180721,480308.78125,1745611022487,2025-04-25 19:57:02,-48.09558,-263.6712,-348.63192,439.749817700773,4
25-04-2025 19:57:12:491,2025-04-25 19:57:12,48.623755,-177.405681,480441.15625,1745611032487,2025-04-25 19:57:12,-42.48036,-268.06572,-350.58504,443.366306226183,4
25-04-2025 19:57:32:491,2025-04-25 19:57:32,49.876497,-177.872128,480701.375,1745611052487,2025-04-25 19:57:32,-32.71476,-312.01092,-318.84684,447.307922016914,4
25-04-2025 19:57:52:491,2025-04-25 19:57:52,51.120684,-178.356142,480951.375,1745611072487,2025-04-25 19:57:52,-34.91202,-365.47758,-236.57166,436.759500112238,4
25-04-2025 19:58:12:491,2025-04-25 19:58:12,52.369891,-178.865101,481192.6875,1745611092487,2025-04-25 19:58:12,-41.99208,-396.7275,-114.50166,415.050206820491,4
25-04-2025 19:58:22:491,2025-04-25 19:58:22,52.990281,-179.127161,481308.5625,1745611102486,2025-04-25 19:58:22,-48.828,-395.26266,-45.89832,400.903229911032,5
25-04-2025 19:58:42:491,2025-04-25 19:58:42,54.229639,-179.670899,481531.5,1745611122486,2025-04-25 19:58:42,-60.05844,-350.82918,85.20486,365.989068036636,5
