sample_id,timestamp_utc,month_block,segment_id,source_dataset,altitude_km,latitude_deg,longitude_deg,residual_mGs,Bx_model_nT,By_model_nT,Bz_model_nT,B_model_nT,B_model_mGs,B_teaching_mGs,Bx_teaching_mGs,By_teaching_mGs,Bz_teaching_mGs,is_anomaly,anomaly_type,anomaly_id,quality_flag
1,2026-01-12 09:00:00,2026-01,segment_1,200_stab,474.7150625,1.055507,-48.188846,-72.7530243557129,20365.3691059232,-6578.60592047697,79.8725311957525,21401.6983975259,214.01698397526,141.263959619547,134.423568895302,-43.4227183208319,0.527206290452728,0,normal,,normal_semisynthetic
2,2026-01-12 09:00:20,2026-01,segment_1,200_stab,474.56875,2.32485,-48.435153,-43.7574877926105,20654.8956322603,-6582.77431509895,1076.67645794739,21705.2266391805,217.052266391805,173.294778599194,164.908923785242,-52.5569456825818,8.59619719732179,0,normal,,normal_semisynthetic
3,2026-01-12 09:00:40,2026-01,segment_1,200_stab,474.44375,3.599924,-48.682873,-67.9311870271297,20923.0368574552,-6577.03729169622,2104.15292582641,22033.1193980802,220.331193980802,152.400006953672,144.721721194229,-45.4924475685636,14.5541316567039,0,normal,,normal_semisynthetic
4,2026-01-12 09:00:50,2026-01,segment_1,200_stab,474.38971875,4.234281,-48.806281,-85.2165949736494,21047.5241434099,-6570.55997242208,2624.3110474602,22204.8989953217,222.048989953217,136.832394979568,129.700348447422,-40.4895089850585,16.1716910250739,0,normal,,normal_semisynthetic
5,2026-01-12 09:01:10,2026-01,segment_1,200_stab,474.29759375,5.509319,-49.054757,-99.9210613406303,21279.0728962081,-6550.48231627664,3686.22199427879,22567.5872544916,225.675872544917,125.754811204286,118.574740156695,-36.5016719639106,20.5409708056121,0,normal,,normal_semisynthetic
6,2026-01-12 09:01:20,2026-01,segment_1,200_stab,474.2595625,6.149353,-49.179749,-63.7096022888055,21385.6543270834,-6536.9599942072,4226.86321264885,22758.3925087386,227.583925087386,163.874322798581,153.989769668911,-47.0701035585352,30.4359961394064,0,normal,,normal_semisynthetic
7,2026-01-12 09:01:30,2026-01,segment_1,200_stab,474.2273125,6.78238,-49.30357,-55.6253908322986,21484.5857588717,-6521.40354240463,4766.13096638794,22952.8240916442,229.528240916442,173.902850084143,162.778692566425,-49.4096350865099,36.1107528912265,0,normal,,normal_semisynthetic
8,2026-01-12 09:01:50,2026-01,segment_1,200_stab,474.17859375,8.055918,-49.553374,4.86182771748997,21663.7584389471,-6483.81101742257,5863.41027472337,23361.0319776425,233.610319776425,238.472147493915,221.146180642594,-66.1875014232784,59.854378059555,0,normal,,normal_semisynthetic
9,2026-01-12 09:02:10,2026-01,segment_1,200_stab,474.15121875,9.329389,-49.804233,11.5190740033042,21815.998750151,-6438.32652005777,6974.95304270714,23791.591367402,237.91591367402,249.434987677324,228.722547196583,-67.5004824769132,73.1265638935507,0,normal,,normal_semisynthetic
10,2026-01-12 09:02:30,2026-01,segment_1,200_stab,474.144875,10.603972,-50.056571,-85.0971815300188,21941.1324168917,-6385.57752062258,8099.23075104235,24244.3071826375,242.443071826375,157.345890296356,142.398254082445,-41.4424867854464,52.5641200483975,0,normal,,normal_semisynthetic
11,2026-01-12 09:02:40,2026-01,segment_1,200_stab,474.1495,11.243034,-50.18362,-68.1898621209667,21993.5828574912,-6356.63802464022,8666.57771959623,24479.2586336971,244.792586336971,176.602724216004,158.670109500646,-45.8592152975246,62.5240027818303,0,normal,,normal_semisynthetic
12,2026-01-12 09:03:00,2026-01,segment_1,200_stab,474.1740625,12.514772,-50.437624,-133.079612218438,22077.5408632671,-6294.5734666906,9801.36328418192,24962.0950227601,249.620950227601,116.541338009162,103.074126983778,-29.3876781310314,45.7599408387373,0,normal,,normal_semisynthetic
13,2026-01-12 09:03:10,2026-01,segment_1,200_stab,474.19378125,13.147949,-50.56472,-100.235821213289,22109.2474104531,-6261.64604319049,10368.6504960529,25209.8382647753,252.098382647753,151.862561434464,133.184787140467,-37.7197821313893,62.4601318902335,0,normal,,normal_semisynthetic
